language,html_url,date,committer,commits
Clojure,https://github.com/weavejester/cljfmt,2014-11-15,rank-0,1.0
Clojure,https://github.com/weavejester/cljfmt,2014-11-16,rank-0,2.0
Clojure,https://github.com/weavejester/cljfmt,2014-11-17,rank-0,5.0
Clojure,https://github.com/weavejester/cljfmt,2014-11-18,rank-0,8.0
Clojure,https://github.com/weavejester/cljfmt,2014-11-19,rank-0,10.0
Clojure,https://github.com/weavejester/cljfmt,2014-11-21,rank-0,12.0
Clojure,https://github.com/weavejester/cljfmt,2014-11-22,rank-0,26.0
Clojure,https://github.com/weavejester/cljfmt,2014-11-23,rank-0,27.0
Clojure,https://github.com/weavejester/cljfmt,2014-12-22,rank-0,28.0
Clojure,https://github.com/weavejester/cljfmt,2014-12-23,rank-0,29.0
Clojure,https://github.com/weavejester/cljfmt,2014-12-25,rank-0,33.0
Clojure,https://github.com/weavejester/cljfmt,2014-12-26,rank-0,34.0
Clojure,https://github.com/weavejester/cljfmt,2014-12-27,rank-0,39.0
Clojure,https://github.com/weavejester/cljfmt,2014-12-30,rank-0,40.0
Clojure,https://github.com/weavejester/cljfmt,2014-12-31,rank-0,42.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-08,rank-0,48.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-10,rank-0,61.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-12,rank-0,62.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-15,rank-0,65.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-16,rank-0,69.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-17,rank-0,84.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-18,rank-0,90.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-20,rank-0,90.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-22,rank-0,91.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-27,rank-0,92.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-28,rank-0,100.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-29,rank-0,106.0
Clojure,https://github.com/weavejester/cljfmt,2015-01-31,rank-0,110.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-02,rank-0,111.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-03,rank-0,112.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-04,rank-0,115.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-05,rank-0,117.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-06,rank-0,119.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-09,rank-0,121.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-11,rank-0,122.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-13,rank-0,124.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-15,rank-0,127.0
Clojure,https://github.com/weavejester/cljfmt,2015-02-16,rank-0,129.0
Clojure,https://github.com/weavejester/cljfmt,2015-03-13,rank-0,129.0
Clojure,https://github.com/weavejester/cljfmt,2015-03-14,rank-0,131.0
Clojure,https://github.com/weavejester/cljfmt,2015-07-01,rank-0,131.0
Clojure,https://github.com/weavejester/cljfmt,2015-07-02,rank-0,139.0
Clojure,https://github.com/weavejester/cljfmt,2015-07-03,rank-0,144.0
Clojure,https://github.com/weavejester/cljfmt,2015-07-15,rank-0,146.0
Clojure,https://github.com/weavejester/cljfmt,2015-07-16,rank-0,147.0
Clojure,https://github.com/weavejester/cljfmt,2015-07-28,rank-0,151.0
Clojure,https://github.com/weavejester/cljfmt,2016-02-12,rank-0,151.0
